State,murder,forcible_rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,population,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree,Millions,PC_Basic_Ed,PC_Higher_Ed,PC_Public_Assist,PC_Medicaid,PC_Corrections,PC_Transportation,PC_Other,PC_Total
Kentucky,4.6,34.0,88.4,139.8,634.0,1685.8,210.8,4.182293,8935346,83.84,7.46,1.08,0.19,2.97,1.68,4.39,23.6,13.29,13.68,32.82,20.85,8.32,24.33,21253,0.233,0.263,0.002,0.115,0.035,0.075,0.277,1.0
Louisiana,9.9,31.4,118.0,435.1,870.6,2494.5,318.1,4.497691,9297588,58.83,31.03,1.49,0.6,4.14,1.57,4.19,24.66,12.27,14.74,33.95,20.95,6.22,24.13,16341,0.262,0.175,0.0,0.2,0.054,0.048,0.261,1.0
Maine,1.4,24.7,24.4,61.7,478.5,1832.6,102.0,1.311631,2688424,93.31,1.13,1.0,0.61,1.26,1.56,5.56,20.67,15.87,7.39,31.46,19.27,10.05,31.83,6227,0.232,0.053,0.023,0.184,0.031,0.071,0.407,1.0
Maryland,9.9,22.6,256.7,413.8,641.4,2294.3,608.4,5.58252,12091360,52.23,27.69,5.24,0.23,7.78,2.72,3.88,23.46,12.23,9.78,24.59,18.71,6.72,40.21,31446,0.231,0.18,0.002,0.142,0.051,0.125,0.27,1.0
Massachusetts,2.7,27.1,119.0,308.1,541.1,1527.4,295.1,6.453031,13785006,72.32,5.68,5.04,0.16,9.11,2.5,4.54,21.66,13.76,9.26,24.02,15.44,7.6,43.68,43792,0.169,0.031,0.013,0.218,0.031,0.055,0.484,1.0
Michigan,6.1,51.3,131.8,362.9,696.8,1917.8,476.5,10.090554,19973714,75.8,13.86,2.37,0.55,4.37,2.31,4.68,23.72,13.75,9.18,28.81,23.34,9.43,29.24,35961,0.362,0.054,0.004,0.146,0.05,0.088,0.296,1.0
Minnesota,2.2,44.0,92.0,158.7,578.9,2226.9,278.2,5.10656,11279264,78.11,4.77,3.78,0.98,4.44,2.22,4.29,24.24,12.81,6.85,24.63,20.95,11.46,36.11,29939,0.333,0.058,0.006,0.185,0.021,0.12,0.277,1.0
Mississippi,7.3,39.3,82.3,149.4,919.7,2083.9,256.5,2.900116,5952298,57.87,36.74,0.86,0.47,2.74,1.15,4.3,25.46,12.79,15.44,30.38,22.28,9.76,22.14,10751,0.243,0.345,0.003,0.114,0.033,0.041,0.223,1.0
Missouri,6.9,28.0,124.1,366.4,738.3,2746.2,443.1,5.806639,12274856,79.04,11.2,1.58,0.39,3.46,2.03,4.58,23.82,13.96,10.04,30.59,22.17,7.93,29.27,17546,0.278,0.058,0.003,0.27,0.038,0.118,0.233,1.0
Montana,1.9,32.2,18.9,228.5,389.2,2543.0,210.7,0.934801,2137556,81.27,0.35,0.57,5.6,2.67,2.34,4.88,22.58,14.75,6.43,28.73,23.42,9.24,32.18,4955,0.179,0.134,0.003,0.087,0.045,0.087,0.466,1.0
Nebraska,2.5,32.9,59.1,192.5,532.4,2574.3,316.5,1.751721,3868816,77.53,4.19,1.65,0.76,8.65,2.04,4.46,25.17,13.38,8.59,26.0,22.79,10.54,32.08,9872,0.14,0.238,0.001,0.107,0.043,0.057,0.415,1.0
